,frequency,TopicA,TopicB,TopicA_words,TopicB_words
0,3,15,14,"['learn', 'memory', 'base']","['phenomenon', 'roget', 'wordnet']"
1,28,15,13,"['learn', 'memory', 'base']","['model', 'belief', 'present']"
2,39,15,12,"['learn', 'memory', 'base']","['retrieval', 'document', 'search']"
3,3,15,11,"['learn', 'memory', 'base']","['failure', 'cbp', 'goal']"
4,27,15,10,"['learn', 'memory', 'base']","['word', 'model', 'combination']"
5,55,15,9,"['learn', 'memory', 'base']","['task', 'sense', 'datum']"
6,5,15,8,"['learn', 'memory', 'base']","['syntax', 'foreign', 'simplistic']"
7,1,15,7,"['learn', 'memory', 'base']","['cluster', 'type', 'gain']"
8,13,15,6,"['learn', 'memory', 'base']","['datum', 'grammar', 'incomplete']"
9,39,15,5,"['learn', 'memory', 'base']","['base', 'language', 'module']"
10,30,15,4,"['learn', 'memory', 'base']","['model', 'base', 'probabilistic']"
11,8,15,3,"['learn', 'memory', 'base']","['line', 'direct', 'mathematical']"
12,58,15,2,"['learn', 'memory', 'base']","['language', 'natural', 'speech']"
13,24,15,1,"['learn', 'memory', 'base']","['case', 'planning', 'learn']"
14,17,15,0,"['learn', 'memory', 'base']","['low', 'selection', 'restrict']"
15,3,14,15,"['phenomenon', 'roget', 'wordnet']","['learn', 'memory', 'base']"
16,2,14,13,"['phenomenon', 'roget', 'wordnet']","['model', 'belief', 'present']"
17,7,14,12,"['phenomenon', 'roget', 'wordnet']","['retrieval', 'document', 'search']"
18,1,14,11,"['phenomenon', 'roget', 'wordnet']","['failure', 'cbp', 'goal']"
19,2,14,10,"['phenomenon', 'roget', 'wordnet']","['word', 'model', 'combination']"
20,6,14,9,"['phenomenon', 'roget', 'wordnet']","['task', 'sense', 'datum']"
21,3,14,6,"['phenomenon', 'roget', 'wordnet']","['datum', 'grammar', 'incomplete']"
22,2,14,5,"['phenomenon', 'roget', 'wordnet']","['base', 'language', 'module']"
23,2,14,4,"['phenomenon', 'roget', 'wordnet']","['model', 'base', 'probabilistic']"
24,2,14,3,"['phenomenon', 'roget', 'wordnet']","['line', 'direct', 'mathematical']"
25,7,14,2,"['phenomenon', 'roget', 'wordnet']","['language', 'natural', 'speech']"
26,3,14,1,"['phenomenon', 'roget', 'wordnet']","['case', 'planning', 'learn']"
27,2,14,0,"['phenomenon', 'roget', 'wordnet']","['low', 'selection', 'restrict']"
28,28,13,15,"['model', 'belief', 'present']","['learn', 'memory', 'base']"
29,2,13,14,"['model', 'belief', 'present']","['phenomenon', 'roget', 'wordnet']"
30,52,13,12,"['model', 'belief', 'present']","['retrieval', 'document', 'search']"
31,8,13,11,"['model', 'belief', 'present']","['failure', 'cbp', 'goal']"
32,42,13,10,"['model', 'belief', 'present']","['word', 'model', 'combination']"
33,86,13,9,"['model', 'belief', 'present']","['task', 'sense', 'datum']"
34,14,13,8,"['model', 'belief', 'present']","['syntax', 'foreign', 'simplistic']"
35,4,13,7,"['model', 'belief', 'present']","['cluster', 'type', 'gain']"
36,25,13,6,"['model', 'belief', 'present']","['datum', 'grammar', 'incomplete']"
37,58,13,5,"['model', 'belief', 'present']","['base', 'language', 'module']"
38,42,13,4,"['model', 'belief', 'present']","['model', 'base', 'probabilistic']"
39,10,13,3,"['model', 'belief', 'present']","['line', 'direct', 'mathematical']"
40,93,13,2,"['model', 'belief', 'present']","['language', 'natural', 'speech']"
41,32,13,1,"['model', 'belief', 'present']","['case', 'planning', 'learn']"
42,21,13,0,"['model', 'belief', 'present']","['low', 'selection', 'restrict']"
43,39,12,15,"['retrieval', 'document', 'search']","['learn', 'memory', 'base']"
44,7,12,14,"['retrieval', 'document', 'search']","['phenomenon', 'roget', 'wordnet']"
45,52,12,13,"['retrieval', 'document', 'search']","['model', 'belief', 'present']"
46,10,12,11,"['retrieval', 'document', 'search']","['failure', 'cbp', 'goal']"
47,52,12,10,"['retrieval', 'document', 'search']","['word', 'model', 'combination']"
48,95,12,9,"['retrieval', 'document', 'search']","['task', 'sense', 'datum']"
49,11,12,8,"['retrieval', 'document', 'search']","['syntax', 'foreign', 'simplistic']"
50,7,12,7,"['retrieval', 'document', 'search']","['cluster', 'type', 'gain']"
51,28,12,6,"['retrieval', 'document', 'search']","['datum', 'grammar', 'incomplete']"
52,75,12,5,"['retrieval', 'document', 'search']","['base', 'language', 'module']"
53,45,12,4,"['retrieval', 'document', 'search']","['model', 'base', 'probabilistic']"
54,14,12,3,"['retrieval', 'document', 'search']","['line', 'direct', 'mathematical']"
55,109,12,2,"['retrieval', 'document', 'search']","['language', 'natural', 'speech']"
56,41,12,1,"['retrieval', 'document', 'search']","['case', 'planning', 'learn']"
57,26,12,0,"['retrieval', 'document', 'search']","['low', 'selection', 'restrict']"
58,3,11,15,"['failure', 'cbp', 'goal']","['learn', 'memory', 'base']"
59,1,11,14,"['failure', 'cbp', 'goal']","['phenomenon', 'roget', 'wordnet']"
60,8,11,13,"['failure', 'cbp', 'goal']","['model', 'belief', 'present']"
61,10,11,12,"['failure', 'cbp', 'goal']","['retrieval', 'document', 'search']"
62,7,11,10,"['failure', 'cbp', 'goal']","['word', 'model', 'combination']"
63,13,11,9,"['failure', 'cbp', 'goal']","['task', 'sense', 'datum']"
64,2,11,8,"['failure', 'cbp', 'goal']","['syntax', 'foreign', 'simplistic']"
65,4,11,6,"['failure', 'cbp', 'goal']","['datum', 'grammar', 'incomplete']"
66,13,11,5,"['failure', 'cbp', 'goal']","['base', 'language', 'module']"
67,8,11,4,"['failure', 'cbp', 'goal']","['model', 'base', 'probabilistic']"
68,2,11,3,"['failure', 'cbp', 'goal']","['line', 'direct', 'mathematical']"
69,15,11,2,"['failure', 'cbp', 'goal']","['language', 'natural', 'speech']"
70,6,11,1,"['failure', 'cbp', 'goal']","['case', 'planning', 'learn']"
71,4,11,0,"['failure', 'cbp', 'goal']","['low', 'selection', 'restrict']"
72,27,10,15,"['word', 'model', 'combination']","['learn', 'memory', 'base']"
73,2,10,14,"['word', 'model', 'combination']","['phenomenon', 'roget', 'wordnet']"
74,42,10,13,"['word', 'model', 'combination']","['model', 'belief', 'present']"
75,52,10,12,"['word', 'model', 'combination']","['retrieval', 'document', 'search']"
76,7,10,11,"['word', 'model', 'combination']","['failure', 'cbp', 'goal']"
77,77,10,9,"['word', 'model', 'combination']","['task', 'sense', 'datum']"
78,15,10,8,"['word', 'model', 'combination']","['syntax', 'foreign', 'simplistic']"
79,7,10,7,"['word', 'model', 'combination']","['cluster', 'type', 'gain']"
80,24,10,6,"['word', 'model', 'combination']","['datum', 'grammar', 'incomplete']"
81,63,10,5,"['word', 'model', 'combination']","['base', 'language', 'module']"
82,33,10,4,"['word', 'model', 'combination']","['model', 'base', 'probabilistic']"
83,9,10,3,"['word', 'model', 'combination']","['line', 'direct', 'mathematical']"
84,89,10,2,"['word', 'model', 'combination']","['language', 'natural', 'speech']"
85,32,10,1,"['word', 'model', 'combination']","['case', 'planning', 'learn']"
86,22,10,0,"['word', 'model', 'combination']","['low', 'selection', 'restrict']"
87,55,9,15,"['task', 'sense', 'datum']","['learn', 'memory', 'base']"
88,6,9,14,"['task', 'sense', 'datum']","['phenomenon', 'roget', 'wordnet']"
89,86,9,13,"['task', 'sense', 'datum']","['model', 'belief', 'present']"
90,95,9,12,"['task', 'sense', 'datum']","['retrieval', 'document', 'search']"
91,13,9,11,"['task', 'sense', 'datum']","['failure', 'cbp', 'goal']"
92,77,9,10,"['task', 'sense', 'datum']","['word', 'model', 'combination']"
93,22,9,8,"['task', 'sense', 'datum']","['syntax', 'foreign', 'simplistic']"
94,10,9,7,"['task', 'sense', 'datum']","['cluster', 'type', 'gain']"
95,49,9,6,"['task', 'sense', 'datum']","['datum', 'grammar', 'incomplete']"
96,118,9,5,"['task', 'sense', 'datum']","['base', 'language', 'module']"
97,71,9,4,"['task', 'sense', 'datum']","['model', 'base', 'probabilistic']"
98,21,9,3,"['task', 'sense', 'datum']","['line', 'direct', 'mathematical']"
99,181,9,2,"['task', 'sense', 'datum']","['language', 'natural', 'speech']"
100,60,9,1,"['task', 'sense', 'datum']","['case', 'planning', 'learn']"
101,40,9,0,"['task', 'sense', 'datum']","['low', 'selection', 'restrict']"
102,5,8,15,"['syntax', 'foreign', 'simplistic']","['learn', 'memory', 'base']"
103,14,8,13,"['syntax', 'foreign', 'simplistic']","['model', 'belief', 'present']"
104,11,8,12,"['syntax', 'foreign', 'simplistic']","['retrieval', 'document', 'search']"
105,2,8,11,"['syntax', 'foreign', 'simplistic']","['failure', 'cbp', 'goal']"
106,15,8,10,"['syntax', 'foreign', 'simplistic']","['word', 'model', 'combination']"
107,22,8,9,"['syntax', 'foreign', 'simplistic']","['task', 'sense', 'datum']"
108,2,8,7,"['syntax', 'foreign', 'simplistic']","['cluster', 'type', 'gain']"
109,6,8,6,"['syntax', 'foreign', 'simplistic']","['datum', 'grammar', 'incomplete']"
110,16,8,5,"['syntax', 'foreign', 'simplistic']","['base', 'language', 'module']"
111,8,8,4,"['syntax', 'foreign', 'simplistic']","['model', 'base', 'probabilistic']"
112,5,8,3,"['syntax', 'foreign', 'simplistic']","['line', 'direct', 'mathematical']"
113,26,8,2,"['syntax', 'foreign', 'simplistic']","['language', 'natural', 'speech']"
114,9,8,1,"['syntax', 'foreign', 'simplistic']","['case', 'planning', 'learn']"
115,5,8,0,"['syntax', 'foreign', 'simplistic']","['low', 'selection', 'restrict']"
116,1,7,15,"['cluster', 'type', 'gain']","['learn', 'memory', 'base']"
117,4,7,13,"['cluster', 'type', 'gain']","['model', 'belief', 'present']"
118,7,7,12,"['cluster', 'type', 'gain']","['retrieval', 'document', 'search']"
119,7,7,10,"['cluster', 'type', 'gain']","['word', 'model', 'combination']"
120,10,7,9,"['cluster', 'type', 'gain']","['task', 'sense', 'datum']"
121,2,7,8,"['cluster', 'type', 'gain']","['syntax', 'foreign', 'simplistic']"
122,2,7,6,"['cluster', 'type', 'gain']","['datum', 'grammar', 'incomplete']"
123,6,7,5,"['cluster', 'type', 'gain']","['base', 'language', 'module']"
124,2,7,4,"['cluster', 'type', 'gain']","['model', 'base', 'probabilistic']"
125,11,7,2,"['cluster', 'type', 'gain']","['language', 'natural', 'speech']"
126,2,7,1,"['cluster', 'type', 'gain']","['case', 'planning', 'learn']"
127,4,7,0,"['cluster', 'type', 'gain']","['low', 'selection', 'restrict']"
128,13,6,15,"['datum', 'grammar', 'incomplete']","['learn', 'memory', 'base']"
129,3,6,14,"['datum', 'grammar', 'incomplete']","['phenomenon', 'roget', 'wordnet']"
130,25,6,13,"['datum', 'grammar', 'incomplete']","['model', 'belief', 'present']"
131,28,6,12,"['datum', 'grammar', 'incomplete']","['retrieval', 'document', 'search']"
132,4,6,11,"['datum', 'grammar', 'incomplete']","['failure', 'cbp', 'goal']"
133,24,6,10,"['datum', 'grammar', 'incomplete']","['word', 'model', 'combination']"
134,49,6,9,"['datum', 'grammar', 'incomplete']","['task', 'sense', 'datum']"
135,6,6,8,"['datum', 'grammar', 'incomplete']","['syntax', 'foreign', 'simplistic']"
136,2,6,7,"['datum', 'grammar', 'incomplete']","['cluster', 'type', 'gain']"
137,41,6,5,"['datum', 'grammar', 'incomplete']","['base', 'language', 'module']"
138,24,6,4,"['datum', 'grammar', 'incomplete']","['model', 'base', 'probabilistic']"
139,8,6,3,"['datum', 'grammar', 'incomplete']","['line', 'direct', 'mathematical']"
140,54,6,2,"['datum', 'grammar', 'incomplete']","['language', 'natural', 'speech']"
141,15,6,1,"['datum', 'grammar', 'incomplete']","['case', 'planning', 'learn']"
142,15,6,0,"['datum', 'grammar', 'incomplete']","['low', 'selection', 'restrict']"
143,39,5,15,"['base', 'language', 'module']","['learn', 'memory', 'base']"
144,2,5,14,"['base', 'language', 'module']","['phenomenon', 'roget', 'wordnet']"
145,58,5,13,"['base', 'language', 'module']","['model', 'belief', 'present']"
146,75,5,12,"['base', 'language', 'module']","['retrieval', 'document', 'search']"
147,13,5,11,"['base', 'language', 'module']","['failure', 'cbp', 'goal']"
148,63,5,10,"['base', 'language', 'module']","['word', 'model', 'combination']"
149,118,5,9,"['base', 'language', 'module']","['task', 'sense', 'datum']"
150,16,5,8,"['base', 'language', 'module']","['syntax', 'foreign', 'simplistic']"
151,6,5,7,"['base', 'language', 'module']","['cluster', 'type', 'gain']"
152,41,5,6,"['base', 'language', 'module']","['datum', 'grammar', 'incomplete']"
153,49,5,4,"['base', 'language', 'module']","['model', 'base', 'probabilistic']"
154,15,5,3,"['base', 'language', 'module']","['line', 'direct', 'mathematical']"
155,130,5,2,"['base', 'language', 'module']","['language', 'natural', 'speech']"
156,44,5,1,"['base', 'language', 'module']","['case', 'planning', 'learn']"
157,24,5,0,"['base', 'language', 'module']","['low', 'selection', 'restrict']"
158,30,4,15,"['model', 'base', 'probabilistic']","['learn', 'memory', 'base']"
159,2,4,14,"['model', 'base', 'probabilistic']","['phenomenon', 'roget', 'wordnet']"
