,frequency,TopicA,TopicB,TopicA_words,TopicB_words
0,476,15,14,"['system', 'earth', 'state']","['model', 'climate', 'change']"
1,178,15,13,"['system', 'earth', 'state']","['web', 'measurement', 'social']"
2,375,15,12,"['system', 'earth', 'state']","['model', 'event', 'prediction']"
3,3,15,11,"['system', 'earth', 'state']","['intermittency', 'solar_radiation', 'fusion']"
4,13,15,10,"['system', 'earth', 'state']","['access', 'stance', 'steady']"
5,45,15,9,"['system', 'earth', 'state']","['flux', 'industry', 'industrial']"
6,270,15,8,"['system', 'earth', 'state']","['energy', 'wind', 'emission']"
7,152,15,7,"['system', 'earth', 'state']","['metric', 'website', 'sustainability']"
8,4,15,6,"['system', 'earth', 'state']","['journal', 'adequate', 'epistemological']"
9,9,15,5,"['system', 'earth', 'state']","['possibility', 'evident', 'vehicle']"
10,476,15,4,"['system', 'earth', 'state']","['climate', 'change', 'base']"
11,476,15,3,"['system', 'earth', 'state']","['high', 'datum', 'water']"
12,112,15,2,"['system', 'earth', 'state']","['ice', 'sea_ice', 'sequestration']"
13,44,15,1,"['system', 'earth', 'state']","['crop', 'soil', 'agricultural']"
14,79,15,0,"['system', 'earth', 'state']","['conference', 'platform', 'online']"
15,476,14,15,"['model', 'climate', 'change']","['system', 'earth', 'state']"
16,374,14,13,"['model', 'climate', 'change']","['web', 'measurement', 'social']"
17,813,14,12,"['model', 'climate', 'change']","['model', 'event', 'prediction']"
18,5,14,11,"['model', 'climate', 'change']","['intermittency', 'solar_radiation', 'fusion']"
19,34,14,10,"['model', 'climate', 'change']","['access', 'stance', 'steady']"
20,85,14,9,"['model', 'climate', 'change']","['flux', 'industry', 'industrial']"
21,564,14,8,"['model', 'climate', 'change']","['energy', 'wind', 'emission']"
22,327,14,7,"['model', 'climate', 'change']","['metric', 'website', 'sustainability']"
23,5,14,6,"['model', 'climate', 'change']","['journal', 'adequate', 'epistemological']"
24,16,14,5,"['model', 'climate', 'change']","['possibility', 'evident', 'vehicle']"
25,1011,14,4,"['model', 'climate', 'change']","['climate', 'change', 'base']"
26,1011,14,3,"['model', 'climate', 'change']","['high', 'datum', 'water']"
27,183,14,2,"['model', 'climate', 'change']","['ice', 'sea_ice', 'sequestration']"
28,101,14,1,"['model', 'climate', 'change']","['crop', 'soil', 'agricultural']"
29,207,14,0,"['model', 'climate', 'change']","['conference', 'platform', 'online']"
30,178,13,15,"['web', 'measurement', 'social']","['system', 'earth', 'state']"
31,374,13,14,"['web', 'measurement', 'social']","['model', 'climate', 'change']"
32,287,13,12,"['web', 'measurement', 'social']","['model', 'event', 'prediction']"
33,18,13,10,"['web', 'measurement', 'social']","['access', 'stance', 'steady']"
34,30,13,9,"['web', 'measurement', 'social']","['flux', 'industry', 'industrial']"
35,186,13,8,"['web', 'measurement', 'social']","['energy', 'wind', 'emission']"
36,126,13,7,"['web', 'measurement', 'social']","['metric', 'website', 'sustainability']"
37,4,13,6,"['web', 'measurement', 'social']","['journal', 'adequate', 'epistemological']"
38,2,13,5,"['web', 'measurement', 'social']","['possibility', 'evident', 'vehicle']"
39,374,13,4,"['web', 'measurement', 'social']","['climate', 'change', 'base']"
40,374,13,3,"['web', 'measurement', 'social']","['high', 'datum', 'water']"
41,73,13,2,"['web', 'measurement', 'social']","['ice', 'sea_ice', 'sequestration']"
42,33,13,1,"['web', 'measurement', 'social']","['crop', 'soil', 'agricultural']"
43,96,13,0,"['web', 'measurement', 'social']","['conference', 'platform', 'online']"
44,375,12,15,"['model', 'event', 'prediction']","['system', 'earth', 'state']"
45,813,12,14,"['model', 'event', 'prediction']","['model', 'climate', 'change']"
46,287,12,13,"['model', 'event', 'prediction']","['web', 'measurement', 'social']"
47,4,12,11,"['model', 'event', 'prediction']","['intermittency', 'solar_radiation', 'fusion']"
48,27,12,10,"['model', 'event', 'prediction']","['access', 'stance', 'steady']"
49,63,12,9,"['model', 'event', 'prediction']","['flux', 'industry', 'industrial']"
50,443,12,8,"['model', 'event', 'prediction']","['energy', 'wind', 'emission']"
51,253,12,7,"['model', 'event', 'prediction']","['metric', 'website', 'sustainability']"
52,3,12,6,"['model', 'event', 'prediction']","['journal', 'adequate', 'epistemological']"
53,13,12,5,"['model', 'event', 'prediction']","['possibility', 'evident', 'vehicle']"
54,813,12,4,"['model', 'event', 'prediction']","['climate', 'change', 'base']"
55,813,12,3,"['model', 'event', 'prediction']","['high', 'datum', 'water']"
56,143,12,2,"['model', 'event', 'prediction']","['ice', 'sea_ice', 'sequestration']"
57,88,12,1,"['model', 'event', 'prediction']","['crop', 'soil', 'agricultural']"
58,159,12,0,"['model', 'event', 'prediction']","['conference', 'platform', 'online']"
59,3,11,15,"['intermittency', 'solar_radiation', 'fusion']","['system', 'earth', 'state']"
60,5,11,14,"['intermittency', 'solar_radiation', 'fusion']","['model', 'climate', 'change']"
